"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP20","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Well.Site"
"1","4-23-69-18-NW",0,0,0,0,0,0,0,0,0.000109297747022,0,0,0.000944438763128,0,0,0,0,0,0.000491247325376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06327741713e-05,0
"2","4-23-69-19-SW",0,0,0,0,0,0,0,0,0.000175134828807,0,0,0,0,0,0,0,0,2.0877358016e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-23-69-6-NW",0,0,0.002135872322891,5.74760936828e-05,0,0,0,0,0,0,0,0,0.000750486229709,0,0,0,0,0,0,0,6.05378291444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07931368464e-05,0,0,0,0,0,0,0,0.0001306417208341,0
"4","4-23-69-7-NW",0,0,0,0,0,0,0,0,0,0,0,0,0.000635009718209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002770723222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","4-23-69-7-SW",0,0,0,0,0,0,0,0,0.00102666117838,0,0,0,0.002904222753285,0,0,0,0,0,0,0,0,0,0,0.000664679443314,0,0,0,0,0,0,0,0,0,0,0,0,0.000888734988123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44866131739e-05,0
"6","4-23-70-18-NE",0,0,0,0,0,0,0,0,0,0,0,5.76236907445,0,0,0,0.444997425364,0,5.24328366596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812963295814,0,0,0.282377473294
"7","4-23-70-18-NW",0,0,0,0,0,0,0,0,0,0,0,34.7447350083751,0,0,10.1302823934424,0,0,11.519718816519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","4-23-70-18-SE",0,0,0,0,0,0,0,0,0,0,0,1.45228405911684,0,0,0.160743740188,0.648812450648,0,14.1596804559997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3454272902345,0,0,0.278278733552
"9","4-23-70-18-SW",0,0,0,0.3971218224256,0,0,0,0,1.035007064899,0,0,9.217704886199,0,0,30.2028047329182,0,0,12.009091384778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36062261191674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7419558290075,0
"10","4-23-70-5-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.126480969273,0,0,14.778541170276,0,0,0,0,0,0,2.136564524015,0,0,0,0,6.0501004616105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","4-23-70-5-SW",0,0,0,0,0,0,0,0,0,0,0,11.3490401469046,0,0,10.5511068865153,0,0,14.8676855096139,0,0,0,0,0,0,3.858963912147,1.893806591653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4049167875468,0
"12","4-23-70-6-NE",0,0,0,19.4702951341,0,0,0,0,0,0,0,0,0,0,18.679191999229,0,0,16.225197746093,0,0,0,0,0,0,0,0,0,0,0,3.16291258949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63519087203,0,0,0.390650213917,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01121377959,0,0.7753601155996,0.1847859929712
"13","4-23-70-6-NW",0,0,0,35.765018202243,5.687490867298,0,0,0,0,0,0,0.988721129247,0,0,7.99741711318005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9777500594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88505607798072,0
"14","4-23-70-6-SE",0,0,0,6.0603984493875,0,0,0,0,0,0,0,0.7517510737866,0,0,33.5155188998376,0,0,1.58832214099,0,0,0,0,0,0,0,0,3.034425314113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307575049273,0,0,0.167596310764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939806676498,0,0.465898714744827,0
"15","4-23-70-6-SW",0,0,1.86949456484,5.65326965105,2.2776885501605,0.286766098584,0,0,0,0,0,0,0,0,45.7622517240222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3708111294335,0,0,0,0,2.678575356486,0,0,0,0,0,0,0,0,0,0,0,0.3850177734883,0,0,0,0,0,0,0,0,0,2.07818895382e-06,0.3708068105764,0,0,0,0,0,0,0,0.30324816196114,0
"16","4-23-70-7-NE",0,0,0,0,0,0,0,0,0,0,0,12.5332140203,0,0,10.727127881174,0,0,35.554820156386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993845040905,0,0.2104711007784,0
"17","4-23-70-7-NW",0,0,10.075835221151,1.076416648849,0,0,0,0,0,0,0,0,0,0,28.3088280758449,0,0,0.795010199534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01135125753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781881112863,0
